ParName   Value   Gradient
lnR      9.00835  7.78106e-06
sel_a50     0.934012  6.21328e-07
sel_slp     0.600718 -1.07147e-07
M     0.252207 -3.90014e-05
F_annual(1978)     0.190703  4.61083e-06
F_annual(1979)     0.200684  5.51393e-06
F_annual(1980)     0.216027  2.76636e-06
F_annual(1981)      0.21646  2.57222e-06
F_annual(1982)     0.196834  4.59478e-06
F_annual(1983)     0.178184  3.54596e-06
F_annual(1984)     0.182868  -1.3531e-06
F_annual(1985)     0.175463 -1.84001e-06
F_annual(1986)     0.162708 -2.11102e-06
F_annual(1987)     0.116784  2.57227e-06
F_annual(1988)      0.15599  7.62587e-07
F_annual(1989)     0.162261 -4.96961e-07
F_annual(1990)      0.19427 -6.23773e-07
F_annual(1991)     0.170451 -2.25679e-06
F_annual(1992)     0.197353 -3.71517e-06
F_annual(1993)       0.1924  -9.6991e-07
F_annual(1994)     0.204231 -1.95411e-06
F_annual(1995)     0.215074 -8.41538e-07
F_annual(1996)     0.223973  2.24384e-06
F_annual(1997)     0.218874  2.74261e-06
F_annual(1998)     0.212647  1.43142e-06
F_annual(1999)     0.177322  9.21073e-07
F_annual(2000)     0.181158  6.28388e-07
F_annual(2001)     0.196229  3.33258e-06
F_annual(2002)      0.19114  1.26541e-06
F_annual(2003)     0.187956  1.11449e-06
F_annual(2004)     0.193082  9.24803e-07
F_annual(2005)      0.21095  1.05474e-06
F_annual(2006)     0.242531 -1.26988e-06
F_annual(2007)     0.255408 -8.33309e-08
F_annual(2008)     0.217021  -8.7709e-07
F_annual(2009)     0.175333 -6.42881e-07
F_annual(2010)     0.159705 -1.21762e-06
F_annual(2011)     0.214413  9.64403e-07
F_annual(2012)     0.202934 -1.58432e-07
F_annual(2013)     0.186978 -7.46087e-07
F_annual(2014)     0.166419 -1.15424e-06
F_annual(2015)     0.155531 -3.14735e-06
F_annual(2016)     0.153487  -4.1667e-06
F_annual(2017)     0.158835 -4.72711e-06
F_annual(2018)     0.176904 -4.06635e-06
F_annual(2019)     0.198707 -1.75742e-06
F_annual(2020)     0.221899  6.70743e-07
F_annual(2021)     0.250903  3.61538e-06
F_annual(2022)     0.178435  4.15606e-06
init_dev(2)    -0.199107  5.96932e-05
init_dev(3)    -0.101516   4.8135e-05
init_dev(4)   -0.0630336  3.40193e-05
init_dev(5)   -0.0575371  2.36264e-05
init_dev(6)  -0.00739595  1.27947e-05
init_dev(7)   -0.0078562  2.05317e-06
